mej_dyn,mej_wind,phi,theta,m1,m2,q
0.001,0.01,30.0,90.0,1.0,1.0,1.0
0.001,0.01,33.333333333333336,90.0,1.0,1.0,1.0
0.001,0.01,36.666666666666664,90.0,1.0,1.0,1.0
0.001,0.01,40.0,90.0,1.0,1.0,1.0
0.001,0.01,43.333333333333336,90.0,1.0,1.0,1.0
0.001,0.01,46.66666666666667,90.0,1.0,1.0,1.0
0.001,0.01,50.0,90.0,1.0,1.0,1.0
0.001,0.01,53.333333333333336,90.0,1.0,1.0,1.0
0.001,0.01,56.66666666666667,90.0,1.0,1.0,1.0
0.001,0.01,60.0,90.0,1.0,1.0,1.0
0.001,0.01,30.0,83.62062979155719,1.0,1.0,1.0
0.001,0.01,33.333333333333336,83.62062979155719,1.0,1.0,1.0
0.001,0.01,36.666666666666664,83.62062979155719,1.0,1.0,1.0
0.001,0.01,40.0,83.62062979155719,1.0,1.0,1.0
0.001,0.01,43.333333333333336,83.62062979155719,1.0,1.0,1.0
0.001,0.01,46.66666666666667,83.62062979155719,1.0,1.0,1.0
0.001,0.01,50.0,83.62062979155719,1.0,1.0,1.0
0.001,0.01,53.333333333333336,83.62062979155719,1.0,1.0,1.0
0.001,0.01,56.66666666666667,83.62062979155719,1.0,1.0,1.0
0.001,0.01,60.0,83.62062979155719,1.0,1.0,1.0
0.001,0.01,30.0,77.16041159309584,1.0,1.0,1.0
0.001,0.01,33.333333333333336,77.16041159309584,1.0,1.0,1.0
0.001,0.01,36.666666666666664,77.16041159309584,1.0,1.0,1.0
0.001,0.01,40.0,77.16041159309584,1.0,1.0,1.0
0.001,0.01,43.333333333333336,77.16041159309584,1.0,1.0,1.0
0.001,0.01,46.66666666666667,77.16041159309584,1.0,1.0,1.0
0.001,0.01,50.0,77.16041159309584,1.0,1.0,1.0
0.001,0.01,53.333333333333336,77.16041159309584,1.0,1.0,1.0
0.001,0.01,56.66666666666667,77.16041159309584,1.0,1.0,1.0
0.001,0.01,60.0,77.16041159309584,1.0,1.0,1.0
0.001,0.01,30.0,70.52877936550931,1.0,1.0,1.0
0.001,0.01,33.333333333333336,70.52877936550931,1.0,1.0,1.0
0.001,0.01,36.666666666666664,70.52877936550931,1.0,1.0,1.0
0.001,0.01,40.0,70.52877936550931,1.0,1.0,1.0
0.001,0.01,43.333333333333336,70.52877936550931,1.0,1.0,1.0
0.001,0.01,46.66666666666667,70.52877936550931,1.0,1.0,1.0
0.001,0.01,50.0,70.52877936550931,1.0,1.0,1.0
0.001,0.01,53.333333333333336,70.52877936550931,1.0,1.0,1.0
0.001,0.01,56.66666666666667,70.52877936550931,1.0,1.0,1.0
0.001,0.01,60.0,70.52877936550931,1.0,1.0,1.0
0.001,0.01,30.0,63.612200038757,1.0,1.0,1.0
0.001,0.01,33.333333333333336,63.612200038757,1.0,1.0,1.0
0.001,0.01,36.666666666666664,63.612200038757,1.0,1.0,1.0
0.001,0.01,40.0,63.612200038757,1.0,1.0,1.0
0.001,0.01,43.333333333333336,63.612200038757,1.0,1.0,1.0
0.001,0.01,46.66666666666667,63.612200038757,1.0,1.0,1.0
0.001,0.01,50.0,63.612200038757,1.0,1.0,1.0
0.001,0.01,53.333333333333336,63.612200038757,1.0,1.0,1.0
0.001,0.01,56.66666666666667,63.612200038757,1.0,1.0,1.0
0.001,0.01,60.0,63.612200038757,1.0,1.0,1.0
0.001,0.01,30.0,56.251011404111416,1.0,1.0,1.0
0.001,0.01,33.333333333333336,56.251011404111416,1.0,1.0,1.0
0.001,0.01,36.666666666666664,56.251011404111416,1.0,1.0,1.0
0.001,0.01,40.0,56.251011404111416,1.0,1.0,1.0
