mej_dyn,mej_wind,phi,theta,m1,m2,q
0.001,0.05,30.0,90.0,1.0,1.0,1.0
0.001,0.05,60.0,90.0,1.0,1.0,1.0
0.001,0.05,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.05,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.05,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.05,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.05,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.05,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.05,30.0,0.0,1.0,1.0,1.0
0.001,0.05,60.0,0.0,1.0,1.0,1.0
0.001,0.07,30.0,90.0,1.0,1.0,1.0
0.001,0.07,60.0,90.0,1.0,1.0,1.0
0.001,0.07,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.07,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.07,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.07,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.07,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.07,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.07,30.0,0.0,1.0,1.0,1.0
0.001,0.07,60.0,0.0,1.0,1.0,1.0
0.001,0.09,30.0,90.0,1.0,1.0,1.0
0.001,0.09,60.0,90.0,1.0,1.0,1.0
0.001,0.09,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.09,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.09,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.09,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.09,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.09,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.09,30.0,0.0,1.0,1.0,1.0
0.001,0.09,60.0,0.0,1.0,1.0,1.0
0.001,0.11,30.0,90.0,1.0,1.0,1.0
0.001,0.11,60.0,90.0,1.0,1.0,1.0
0.001,0.11,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.11,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.11,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.11,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.11,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.11,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.11,30.0,0.0,1.0,1.0,1.0
0.001,0.11,60.0,0.0,1.0,1.0,1.0
0.001,0.13,30.0,90.0,1.0,1.0,1.0
0.001,0.13,60.0,90.0,1.0,1.0,1.0
0.001,0.13,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.13,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.13,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.13,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.13,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.13,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.13,30.0,0.0,1.0,1.0,1.0
0.001,0.13,60.0,0.0,1.0,1.0,1.0
0.00575,0.05,30.0,90.0,1.0,1.0,1.0
0.00575,0.05,60.0,90.0,1.0,1.0,1.0
0.00575,0.05,30.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.05,60.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.05,30.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.05,60.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.05,30.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.05,60.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.05,30.0,0.0,1.0,1.0,1.0
0.00575,0.05,60.0,0.0,1.0,1.0,1.0
0.00575,0.07,30.0,90.0,1.0,1.0,1.0
0.00575,0.07,60.0,90.0,1.0,1.0,1.0
0.00575,0.07,30.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.07,60.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.07,30.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.07,60.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.07,30.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.07,60.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.07,30.0,0.0,1.0,1.0,1.0
0.00575,0.07,60.0,0.0,1.0,1.0,1.0
0.00575,0.09,30.0,90.0,1.0,1.0,1.0
0.00575,0.09,60.0,90.0,1.0,1.0,1.0
0.00575,0.09,30.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.09,60.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.09,30.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.09,60.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.09,30.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.09,60.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.09,30.0,0.0,1.0,1.0,1.0
0.00575,0.09,60.0,0.0,1.0,1.0,1.0
0.00575,0.11,30.0,90.0,1.0,1.0,1.0
0.00575,0.11,60.0,90.0,1.0,1.0,1.0
0.00575,0.11,30.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.11,60.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.11,30.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.11,60.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.11,30.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.11,60.0,41.40962210927086,1.0,1.0,1.0
0.00575,0.11,30.0,0.0,1.0,1.0,1.0
0.00575,0.11,60.0,0.0,1.0,1.0,1.0
0.00575,0.13,30.0,90.0,1.0,1.0,1.0
0.00575,0.13,60.0,90.0,1.0,1.0,1.0
0.00575,0.13,30.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.13,60.0,75.52248781407008,1.0,1.0,1.0
0.00575,0.13,30.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.13,60.0,60.00000000000001,1.0,1.0,1.0
0.00575,0.13,30.0,41.40962210927086,1.0,1.0,1.0
