mej_dyn,mej_wind,phi,theta,m1,m2,q
0.001,0.01,30.0,90.0,1.0,1.0,1.0
0.001,0.01,37.5,90.0,1.0,1.0,1.0
0.001,0.01,45.0,90.0,1.0,1.0,1.0
0.001,0.01,52.5,90.0,1.0,1.0,1.0
0.001,0.01,60.0,90.0,1.0,1.0,1.0
0.001,0.01,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.01,37.5,75.52248781407008,1.0,1.0,1.0
0.001,0.01,45.0,75.52248781407008,1.0,1.0,1.0
0.001,0.01,52.5,75.52248781407008,1.0,1.0,1.0
0.001,0.01,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.01,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.01,37.5,60.00000000000001,1.0,1.0,1.0
0.001,0.01,45.0,60.00000000000001,1.0,1.0,1.0
0.001,0.01,52.5,60.00000000000001,1.0,1.0,1.0
0.001,0.01,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.01,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.01,37.5,41.40962210927086,1.0,1.0,1.0
0.001,0.01,45.0,41.40962210927086,1.0,1.0,1.0
0.001,0.01,52.5,41.40962210927086,1.0,1.0,1.0
0.001,0.01,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.01,30.0,0.0,1.0,1.0,1.0
0.001,0.01,37.5,0.0,1.0,1.0,1.0
0.001,0.01,45.0,0.0,1.0,1.0,1.0
0.001,0.01,52.5,0.0,1.0,1.0,1.0
0.001,0.01,60.0,0.0,1.0,1.0,1.0
0.001,0.018571428571428572,30.0,90.0,1.0,1.0,1.0
0.001,0.018571428571428572,37.5,90.0,1.0,1.0,1.0
0.001,0.018571428571428572,45.0,90.0,1.0,1.0,1.0
0.001,0.018571428571428572,52.5,90.0,1.0,1.0,1.0
0.001,0.018571428571428572,60.0,90.0,1.0,1.0,1.0
0.001,0.018571428571428572,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.018571428571428572,37.5,75.52248781407008,1.0,1.0,1.0
0.001,0.018571428571428572,45.0,75.52248781407008,1.0,1.0,1.0
0.001,0.018571428571428572,52.5,75.52248781407008,1.0,1.0,1.0
0.001,0.018571428571428572,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.018571428571428572,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.018571428571428572,37.5,60.00000000000001,1.0,1.0,1.0
0.001,0.018571428571428572,45.0,60.00000000000001,1.0,1.0,1.0
0.001,0.018571428571428572,52.5,60.00000000000001,1.0,1.0,1.0
0.001,0.018571428571428572,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.018571428571428572,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.018571428571428572,37.5,41.40962210927086,1.0,1.0,1.0
0.001,0.018571428571428572,45.0,41.40962210927086,1.0,1.0,1.0
0.001,0.018571428571428572,52.5,41.40962210927086,1.0,1.0,1.0
0.001,0.018571428571428572,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.018571428571428572,30.0,0.0,1.0,1.0,1.0
0.001,0.018571428571428572,37.5,0.0,1.0,1.0,1.0
0.001,0.018571428571428572,45.0,0.0,1.0,1.0,1.0
0.001,0.018571428571428572,52.5,0.0,1.0,1.0,1.0
0.001,0.018571428571428572,60.0,0.0,1.0,1.0,1.0
0.001,0.027142857142857142,30.0,90.0,1.0,1.0,1.0
0.001,0.027142857142857142,37.5,90.0,1.0,1.0,1.0
0.001,0.027142857142857142,45.0,90.0,1.0,1.0,1.0
0.001,0.027142857142857142,52.5,90.0,1.0,1.0,1.0
0.001,0.027142857142857142,60.0,90.0,1.0,1.0,1.0
0.001,0.027142857142857142,30.0,75.52248781407008,1.0,1.0,1.0
0.001,0.027142857142857142,37.5,75.52248781407008,1.0,1.0,1.0
0.001,0.027142857142857142,45.0,75.52248781407008,1.0,1.0,1.0
0.001,0.027142857142857142,52.5,75.52248781407008,1.0,1.0,1.0
0.001,0.027142857142857142,60.0,75.52248781407008,1.0,1.0,1.0
0.001,0.027142857142857142,30.0,60.00000000000001,1.0,1.0,1.0
0.001,0.027142857142857142,37.5,60.00000000000001,1.0,1.0,1.0
0.001,0.027142857142857142,45.0,60.00000000000001,1.0,1.0,1.0
0.001,0.027142857142857142,52.5,60.00000000000001,1.0,1.0,1.0
0.001,0.027142857142857142,60.0,60.00000000000001,1.0,1.0,1.0
0.001,0.027142857142857142,30.0,41.40962210927086,1.0,1.0,1.0
0.001,0.027142857142857142,37.5,41.40962210927086,1.0,1.0,1.0
0.001,0.027142857142857142,45.0,41.40962210927086,1.0,1.0,1.0
0.001,0.027142857142857142,52.5,41.40962210927086,1.0,1.0,1.0
0.001,0.027142857142857142,60.0,41.40962210927086,1.0,1.0,1.0
0.001,0.027142857142857142,30.0,0.0,1.0,1.0,1.0
0.001,0.027142857142857142,37.5,0.0,1.0,1.0,1.0
0.001,0.027142857142857142,45.0,0.0,1.0,1.0,1.0
0.001,0.027142857142857142,52.5,0.0,1.0,1.0,1.0
