mej_dyn,mej_wind,phi,theta,m1,m2,q
0.01,0.01,10.0,90.0,1.0,1.0,1.0
0.01,0.01,30.0,90.0,1.0,1.0,1.0
0.01,0.01,45.0,90.0,1.0,1.0,1.0
0.01,0.01,60.0,90.0,1.0,1.0,1.0
0.01,0.01,75.0,90.0,1.0,1.0,1.0
0.01,0.01,90.0,90.0,1.0,1.0,1.0
0.01,0.01,10.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01,30.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01,45.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01,60.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01,75.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01,90.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01,10.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01,30.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01,45.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01,60.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01,75.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01,90.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01,10.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01,30.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01,45.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01,60.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01,75.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01,90.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01,10.0,0.0,1.0,1.0,1.0
0.01,0.01,30.0,0.0,1.0,1.0,1.0
0.01,0.01,45.0,0.0,1.0,1.0,1.0
0.01,0.01,60.0,0.0,1.0,1.0,1.0
0.01,0.01,75.0,0.0,1.0,1.0,1.0
0.01,0.01,90.0,0.0,1.0,1.0,1.0
0.01,0.01888888888888889,10.0,90.0,1.0,1.0,1.0
0.01,0.01888888888888889,30.0,90.0,1.0,1.0,1.0
0.01,0.01888888888888889,45.0,90.0,1.0,1.0,1.0
0.01,0.01888888888888889,60.0,90.0,1.0,1.0,1.0
0.01,0.01888888888888889,75.0,90.0,1.0,1.0,1.0
0.01,0.01888888888888889,90.0,90.0,1.0,1.0,1.0
0.01,0.01888888888888889,10.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01888888888888889,30.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01888888888888889,45.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01888888888888889,60.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01888888888888889,75.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01888888888888889,90.0,75.52248781407008,1.0,1.0,1.0
0.01,0.01888888888888889,10.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01888888888888889,30.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01888888888888889,45.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01888888888888889,60.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01888888888888889,75.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01888888888888889,90.0,60.00000000000001,1.0,1.0,1.0
0.01,0.01888888888888889,10.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01888888888888889,30.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01888888888888889,45.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01888888888888889,60.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01888888888888889,75.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01888888888888889,90.0,41.40962210927086,1.0,1.0,1.0
0.01,0.01888888888888889,10.0,0.0,1.0,1.0,1.0
0.01,0.01888888888888889,30.0,0.0,1.0,1.0,1.0
0.01,0.01888888888888889,45.0,0.0,1.0,1.0,1.0
0.01,0.01888888888888889,60.0,0.0,1.0,1.0,1.0
0.01,0.01888888888888889,75.0,0.0,1.0,1.0,1.0
0.01,0.01888888888888889,90.0,0.0,1.0,1.0,1.0
0.01,0.027777777777777776,10.0,90.0,1.0,1.0,1.0
0.01,0.027777777777777776,30.0,90.0,1.0,1.0,1.0
0.01,0.027777777777777776,45.0,90.0,1.0,1.0,1.0
0.01,0.027777777777777776,60.0,90.0,1.0,1.0,1.0
0.01,0.027777777777777776,75.0,90.0,1.0,1.0,1.0
0.01,0.027777777777777776,90.0,90.0,1.0,1.0,1.0
0.01,0.027777777777777776,10.0,75.52248781407008,1.0,1.0,1.0
0.01,0.027777777777777776,30.0,75.52248781407008,1.0,1.0,1.0
0.01,0.027777777777777776,45.0,75.52248781407008,1.0,1.0,1.0
0.01,0.027777777777777776,60.0,75.52248781407008,1.0,1.0,1.0
0.01,0.027777777777777776,75.0,75.52248781407008,1.0,1.0,1.0
0.01,0.027777777777777776,90.0,75.52248781407008,1.0,1.0,1.0
0.01,0.027777777777777776,10.0,60.00000000000001,1.0,1.0,1.0
0.01,0.027777777777777776,30.0,60.00000000000001,1.0,1.0,1.0
0.01,0.027777777777777776,45.0,60.00000000000001,1.0,1.0,1.0
0.01,0.027777777777777776,60.0,60.00000000000001,1.0,1.0,1.0
0.01,0.027777777777777776,75.0,60.00000000000001,1.0,1.0,1.0
0.01,0.027777777777777776,90.0,60.00000000000001,1.0,1.0,1.0
0.01,0.027777777777777776,10.0,41.40962210927086,1.0,1.0,1.0
0.01,0.027777777777777776,30.0,41.40962210927086,1.0,1.0,1.0
0.01,0.027777777777777776,45.0,41.40962210927086,1.0,1.0,1.0
0.01,0.027777777777777776,60.0,41.40962210927086,1.0,1.0,1.0
0.01,0.027777777777777776,75.0,41.40962210927086,1.0,1.0,1.0
0.01,0.027777777777777776,90.0,41.40962210927086,1.0,1.0,1.0
0.01,0.027777777777777776,10.0,0.0,1.0,1.0,1.0
0.01,0.027777777777777776,30.0,0.0,1.0,1.0,1.0
0.01,0.027777777777777776,45.0,0.0,1.0,1.0,1.0
0.01,0.027777777777777776,60.0,0.0,1.0,1.0,1.0
0.01,0.027777777777777776,75.0,0.0,1.0,1.0,1.0
0.01,0.027777777777777776,90.0,0.0,1.0,1.0,1.0
0.01,0.03666666666666667,10.0,90.0,1.0,1.0,1.0
0.01,0.03666666666666667,30.0,90.0,1.0,1.0,1.0
0.01,0.03666666666666667,45.0,90.0,1.0,1.0,1.0
0.01,0.03666666666666667,60.0,90.0,1.0,1.0,1.0
0.01,0.03666666666666667,75.0,90.0,1.0,1.0,1.0
0.01,0.03666666666666667,90.0,90.0,1.0,1.0,1.0
0.01,0.03666666666666667,10.0,75.52248781407008,1.0,1.0,1.0
0.01,0.03666666666666667,30.0,75.52248781407008,1.0,1.0,1.0
0.01,0.03666666666666667,45.0,75.52248781407008,1.0,1.0,1.0
0.01,0.03666666666666667,60.0,75.52248781407008,1.0,1.0,1.0
0.01,0.03666666666666667,75.0,75.52248781407008,1.0,1.0,1.0
0.01,0.03666666666666667,90.0,75.52248781407008,1.0,1.0,1.0
0.01,0.03666666666666667,10.0,60.00000000000001,1.0,1.0,1.0
0.01,0.03666666666666667,30.0,60.00000000000001,1.0,1.0,1.0
0.01,0.03666666666666667,45.0,60.00000000000001,1.0,1.0,1.0
0.01,0.03666666666666667,60.0,60.00000000000001,1.0,1.0,1.0
0.01,0.03666666666666667,75.0,60.00000000000001,1.0,1.0,1.0
0.01,0.03666666666666667,90.0,60.00000000000001,1.0,1.0,1.0
0.01,0.03666666666666667,10.0,41.40962210927086,1.0,1.0,1.0
0.01,0.03666666666666667,30.0,41.40962210927086,1.0,1.0,1.0
0.01,0.03666666666666667,45.0,41.40962210927086,1.0,1.0,1.0
0.01,0.03666666666666667,60.0,41.40962210927086,1.0,1.0,1.0
0.01,0.03666666666666667,75.0,41.40962210927086,1.0,1.0,1.0
0.01,0.03666666666666667,90.0,41.40962210927086,1.0,1.0,1.0
0.01,0.03666666666666667,10.0,0.0,1.0,1.0,1.0
0.01,0.03666666666666667,30.0,0.0,1.0,1.0,1.0
0.01,0.03666666666666667,45.0,0.0,1.0,1.0,1.0
0.01,0.03666666666666667,60.0,0.0,1.0,1.0,1.0
0.01,0.03666666666666667,75.0,0.0,1.0,1.0,1.0
0.01,0.03666666666666667,90.0,0.0,1.0,1.0,1.0
0.01,0.04555555555555556,10.0,90.0,1.0,1.0,1.0
0.01,0.04555555555555556,30.0,90.0,1.0,1.0,1.0
0.01,0.04555555555555556,45.0,90.0,1.0,1.0,1.0
0.01,0.04555555555555556,60.0,90.0,1.0,1.0,1.0
0.01,0.04555555555555556,75.0,90.0,1.0,1.0,1.0
0.01,0.04555555555555556,90.0,90.0,1.0,1.0,1.0
0.01,0.04555555555555556,10.0,75.52248781407008,1.0,1.0,1.0
0.01,0.04555555555555556,30.0,75.52248781407008,1.0,1.0,1.0
0.01,0.04555555555555556,45.0,75.52248781407008,1.0,1.0,1.0
0.01,0.04555555555555556,60.0,75.52248781407008,1.0,1.0,1.0
0.01,0.04555555555555556,75.0,75.52248781407008,1.0,1.0,1.0
0.01,0.04555555555555556,90.0,75.52248781407008,1.0,1.0,1.0
0.01,0.04555555555555556,10.0,60.00000000000001,1.0,1.0,1.0
0.01,0.04555555555555556,30.0,60.00000000000001,1.0,1.0,1.0
0.01,0.04555555555555556,45.0,60.00000000000001,1.0,1.0,1.0
0.01,0.04555555555555556,60.0,60.00000000000001,1.0,1.0,1.0
0.01,0.04555555555555556,75.0,60.00000000000001,1.0,1.0,1.0
0.01,0.04555555555555556,90.0,60.00000000000001,1.0,1.0,1.0
0.01,0.04555555555555556,10.0,41.40962210927086,1.0,1.0,1.0
0.01,0.04555555555555556,30.0,41.40962210927086,1.0,1.0,1.0
0.01,0.04555555555555556,45.0,41.40962210927086,1.0,1.0,1.0
0.01,0.04555555555555556,60.0,41.40962210927086,1.0,1.0,1.0
0.01,0.04555555555555556,75.0,41.40962210927086,1.0,1.0,1.0
0.01,0.04555555555555556,90.0,41.40962210927086,1.0,1.0,1.0
0.01,0.04555555555555556,10.0,0.0,1.0,1.0,1.0
0.01,0.04555555555555556,30.0,0.0,1.0,1.0,1.0
0.01,0.04555555555555556,45.0,0.0,1.0,1.0,1.0
0.01,0.04555555555555556,60.0,0.0,1.0,1.0,1.0
0.01,0.04555555555555556,75.0,0.0,1.0,1.0,1.0
0.01,0.04555555555555556,90.0,0.0,1.0,1.0,1.0
0.01,0.05444444444444445,10.0,90.0,1.0,1.0,1.0
0.01,0.05444444444444445,30.0,90.0,1.0,1.0,1.0
0.01,0.05444444444444445,45.0,90.0,1.0,1.0,1.0
0.01,0.05444444444444445,60.0,90.0,1.0,1.0,1.0
0.01,0.05444444444444445,75.0,90.0,1.0,1.0,1.0
0.01,0.05444444444444445,90.0,90.0,1.0,1.0,1.0
0.01,0.05444444444444445,10.0,75.52248781407008,1.0,1.0,1.0
0.01,0.05444444444444445,30.0,75.52248781407008,1.0,1.0,1.0
0.01,0.05444444444444445,45.0,75.52248781407008,1.0,1.0,1.0
0.01,0.05444444444444445,60.0,75.52248781407008,1.0,1.0,1.0
0.01,0.05444444444444445,75.0,75.52248781407008,1.0,1.0,1.0
0.01,0.05444444444444445,90.0,75.52248781407008,1.0,1.0,1.0
0.01,0.05444444444444445,10.0,60.00000000000001,1.0,1.0,1.0
0.01,0.05444444444444445,30.0,60.00000000000001,1.0,1.0,1.0
0.01,0.05444444444444445,45.0,60.00000000000001,1.0,1.0,1.0
0.01,0.05444444444444445,60.0,60.00000000000001,1.0,1.0,1.0
0.01,0.05444444444444445,75.0,60.00000000000001,1.0,1.0,1.0
